Date	Venue	Location	Ignore
Dec 04, 2009	Portsmouth Guildhall	Portsmouth, United Kingdom	 I Was There
Dec 01, 2009	Royal Concert Hall	Nottingham, United Kingdom	 I Was There
Nov 30, 2009	Colston Hall	Bristol, United Kingdom	 I Was There
Nov 29, 2009	O2 Academy Brixton	London, United Kingdom	 I Was There
Nov 28, 2009	Wolverhampton Civic Hall	Wolverhampton, United Kingdom	 I Was There	
Nov 27, 2009	Wolverhampton Civic Hall	Wolverhampton, United Kingdom	 I Was There
Nov 22, 2009	Portsmouth Guildhall	Portsmouth, United Kingdom	 I Was There
Nov 21, 2009	Warwick Arts Centre	Coventry, United Kingdom	 I Was There
Nov 20, 2009	Royal Concert Hall	Nottingham, United Kingdom	 I Was There
Nov 17, 2009	Wales Millennium Centre	Cardiff, United Kingdom	 I Was There
Nov 15, 2009	New Theatre Oxford	Oxford, United Kingdom	 I Was There
Nov 14, 2009	King George's Hall	Blackburn, United Kingdom	 I Was There
Nov 13, 2009	St. George's Concert Hall	Bradford, United Kingdom	 I Was There
Nov 09, 2009	Victoria Hall	Stoke On Trent, United Kingdom	 I Was There
Nov 08, 2009	Pyramid Theatre	Leeds, United Kingdom	 I Was There
Nov 03, 2009	Hexagon	Reading, United Kingdom	 I Was There
Nov 02, 2009	O2 Academy Brixton	London, United Kingdom	 I Was There
Aug 09, 2009	Corn Exchange	Cambridge, United Kingdom	 I Was There
Jul 11, 2009	Corn Exchange	Cambridge, United Kingdom	 I Was There
Apr 25, 2009	Harrogate International Centre	North Yorkshire, United Kingdom	 I Was There
Feb 12, 2009	Carlisle Sand Centre	Carlisle, United Kingdom	 I Was There
Dec 07, 2008	Railway Inn	Winchester, United Kingdom	 I Was There
Dec 07, 2008	O2 Academy Brixton	London, United Kingdom	 I Was There
Dec 05, 2008	Apollo	Manchester, United Kingdom	 I Was There
Nov 30, 2008	O2 Academy Islington	London, United Kingdom	 I Was There	
Oct 26, 2008	Apollo	Manchester, United Kingdom	 I Was There
Oct 25, 2008	Apollo	Manchester, United Kingdom	 I Was There
Oct 24, 2008	Apollo	Manchester, United Kingdom	 I Was There
Jul 20, 2008	Pavilion	Plymouth, United Kingdom	 I Was There
Jul 06, 2008	The Princes Theatre	Torquay, United Kingdom	 I Was There
Jul 05, 2008	The Princes Theatre	Torquay, United Kingdom	 I Was There
Jul 01, 2008	Alban Arena	St Albans, United Kingdom	 I Was There
Dec 22, 2007	Carling Apollo Hammersmith	London, United Kingdom	 I Was There
Dec 21, 2007	Warwick Arts Centre	Coventry, United Kingdom	 I Was There
Dec 16, 2007	Margate Winter Gardens	Margate, United Kingdom	 I Was There
Dec 15, 2007	Carling Apollo Hammersmith	London, United Kingdom	 I Was There
Dec 14, 2007	Carling Apollo Hammersmith	London, United Kingdom	 I Was There
Dec 12, 2007	Royal Theatre	Northampton, United Kingdom	 I Was There
Dec 08, 2007	Corn Exchange	Cambridge, United Kingdom	 I Was There
Dec 07, 2007	Wolverhampton Civic Hall	Wolverhampton, United Kingdom	 I Was There
Dec 02, 2007	Bridge Academy	London, United Kingdom	 I Was There
Dec 01, 2007	Bridge Academy	London, United Kingdom	 I Was There
Nov 30, 2007	Colston Hall	Bristol, United Kingdom	 I Was There
Nov 26, 2007	The Victoria Theatre	Halifax, United Kingdom	 I Was There
Nov 25, 2007	Pyramid Theatre	Leeds, United Kingdom	 I Was There	
Nov 24, 2007	King George's Hall	Blackburn, United Kingdom	 I Was There
Nov 23, 2007	Southport Theatre and Convention Centre	Southport, United Kingdom	 I Was There
Nov 21, 2007	Symphony Hall	Birmingham, United Kingdom	 I Was There
Nov 18, 2007	New Theatre Oxford	Oxford, United Kingdom	 I Was There
Nov 17, 2007	Corn Exchange	Cambridge, United Kingdom	 I Was There
Nov 13, 2007	Swansea Grand Theatre	Swansea, United Kingdom	 I Was There
Nov 10, 2007	St. George's Concert Hall	Bradford, United Kingdom	 I Was There
Nov 09, 2007	Carlisle Sand Centre	Carlisle, United Kingdom	 I Was There
Nov 05, 2007	Newcastle City Hall	Newcastle Upon Tyne, United Kingdom	 I Was There
Nov 04, 2007	Middlesbrough Town Hall	Middlesbrough, United Kingdom	 I Was There
Nov 03, 2007	Newcastle City Hall	Newcastle Upon Tyne, United Kingdom	 I Was There
Oct 27, 2007	Apollo	Manchester, United Kingdom	 I Was There
Oct 26, 2007	Apollo	Manchester, United Kingdom	 I Was There
Oct 23, 2007	Swan Theatre	High Wycombe, United Kingdom	 I Was There
Oct 21, 2007	Brighton Dome,Brighton Dome Complex	Brighton, United Kingdom	 I Was There
Oct 20, 2007	Brighton Dome,Brighton Dome Complex	Brighton, United Kingdom	 I Was There
Oct 19, 2007	Guildhall	Portsmouth, United Kingdom	 I Was There
Oct 14, 2007	Wales Millennium Centre	Cardiff, United Kingdom	 I Was There
Oct 13, 2007	Warwick Arts Centre	Coventry, United Kingdom	 I Was There
Oct 12, 2007	Hexagon	Reading, United Kingdom	 I Was There	
Oct 07, 2007	The Broadway	Peterborough, United Kingdom	 I Was There
Oct 06, 2007	City Hall	Sheffield, United Kingdom	 I Was There
Oct 05, 2007	Symphony Hall	Birmingham, United Kingdom	 I Was There
Sep 30, 2007	Hawth Theatre	Crawley, United Kingdom	 I Was There
Sep 29, 2007	Festival Theatre	Chichester, United Kingdom	 I Was There
Sep 28, 2007	Dudley Concert Hall	Dudley, United Kingdom	 I Was There
Sep 23, 2007	Olympia Theatre	Dublin, Ireland	 I Was There
Sep 22, 2007	Olympia Theatre	Dublin, Ireland	 I Was There
Sep 16, 2007	City Hall	Salisbury, United Kingdom	 I Was There
Sep 15, 2007	Park Pavilion	Felixstowe, United Kingdom	 I Was There
Sep 14, 2007	The Charter Hall	Colchester, United Kingdom	 I Was There
Aug 26, 2007	Venue 150	Edinburgh, United Kingdom	 I Was There
Aug 25, 2007	Venue 150	Edinburgh, United Kingdom	 I Was There
Aug 24, 2007	Venue 150	Edinburgh, United Kingdom	 I Was There
Aug 23, 2007	Venue 150	Edinburgh, United Kingdom	 I Was There
Aug 19, 2007	Venue 150	Edinburgh, United Kingdom	 I Was There
Aug 18, 2007	Venue 150	Edinburgh, United Kingdom	 I Was There
Aug 17, 2007	Venue 150	Edinburgh, United Kingdom	 I Was There
Aug 16, 2007	Venue 150	Edinburgh, United Kingdom	 I Was There
Jul 07, 2007	Alban Arena	St Albans, United Kingdom	 I Was There
