Date	Venue	Location	Ignore
Sep 09, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Sep 02, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Aug 29, 2012	40 Watt Club	Athens, GA	 I Was There
Aug 26, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Aug 19, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Aug 12, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There	
Aug 05, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jul 29, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jul 22, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jul 15, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jul 13, 2012	Lincoln Hall (Pitchfork Festival Afterparty)	Chicago, IL	 I Was There
Jul 08, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jul 01, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jun 24, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jun 17, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jun 10, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jun 03, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
May 27, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
May 20, 2012	Knitting Factory Bklyn	Brooklyn, NY	 I Was There
May 13, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
May 12, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 11, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 10, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 09, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 08, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 06, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There	
May 05, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 04, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 03, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 02, 2012	Soho Theatre	London, United Kingdom	 I Was There
May 01, 2012	Soho Theatre	London, United Kingdom	 I Was There
Apr 29, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Apr 22, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Apr 15, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Apr 08, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Apr 01, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Mar 25, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Mar 18, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Mar 11, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Mar 04, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Feb 26, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Feb 24, 2012	Great Scott	Allston, MA	 I Was There
Feb 19, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Feb 12, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Feb 05, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jan 29, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There	
Jan 28, 2012	Casbah	San Diego, CA	 I Was There
Jan 22, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jan 15, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Jan 12, 2012	THE HIDEOUT	Chicago, IL	 I Was There
Jan 08, 2012	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Dec 19, 2011	Littefield	Brooklyn, NY	 I Was There
Dec 18, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Dec 11, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Dec 06, 2011	Blowout Tuesday: Curated by Dessa	Minneapolis, MN	 I Was There
Dec 04, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Nov 27, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Nov 20, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Nov 13, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Nov 09, 2011	Vitus	Oakland, CA	 I Was There
Nov 06, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Oct 30, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Oct 23, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Oct 16, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There
Oct 09, 2011	Knitting Factory Brooklyn Front Bar	Brooklyn, NY	 I Was There

