Date	Venue	Location	Ignore
Sep 28, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Sep 27, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Aug 24, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Aug 23, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Jun 30, 2013	Kravis Center	West Palm Beach, FL	 I Was There
Jun 29, 2013	Fillmore Miami Beach at Gleason Theater	Miami Beach, FL	 I Was There
Jun 27, 2013	Straz Center Morsani Hall	Tampa, FL	 I Was There
Jun 25, 2013	Bob Carr Performing Arts Centre	Orlando, FL	 I Was There
Jun 24, 2013	Township Auditorium	Columbia, SC	 I Was There
Jun 22, 2013	Warner Theatre	Washington, DC	 I Was There
Jun 19, 2013	Crysler Hall	Norfolk, VA	 I Was There
Jun 18, 2013	Roanoke Performing Arts Theatre	Roanoke, VA	 I Was There
Jun 17, 2013	Classic Center	Athens, GA	 I Was There
Jun 16, 2013	Tennessee Theatre	Knoxville, TN	 I Was There
Jun 15, 2013	Cobb Energy Performing Arts Centre	Atlanta, GA	 I Was There
Jun 13, 2013	Great Stage Park	Manchester, TN	 I Was There
Jun 12, 2013	Heinz Hall	Pittsburgh, PA	 I Was There
Jun 10, 2013	Stranahan Theatre	Toledo, OH	 I Was There
Jun 06, 2013	Peoria Civic Center	Peoria, IL	 I Was There
Jun 04, 2013	Stephens Auditorium	Ames, IA	 I Was There
Jun 03, 2013	Lied Center for the Performing Arts	Nebraska City, NE	 I Was There
Jun 01, 2013	Bellco Theatre	Denver, CO	 I Was There
May 31, 2013	Cheyenne Civic Center	Cheyenne, WY	 I Was There
May 30, 2013	Abravanel Hall	Salt Lake City, UT	 I Was There
Apr 20, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Apr 19, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Mar 23, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Mar 22, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Feb 02, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Feb 01, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
Jan 12, 2013	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jan 11, 2013	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Dec 14, 2012	Silver Legacy Casino	Reno, NV	 I Was There
Nov 24, 2012	State Theatre	Cleveland, OH	 I Was There
Nov 23, 2012	State Theatre	Cleveland, OH	 I Was There
Nov 17, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Nov 16, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Oct 27, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Oct 26, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Sep 29, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Sep 28, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Aug 18, 2012	Santa Barbara Bowl	Santa Barbara, CA	 I Was There
Jul 21, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jul 20, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jun 09, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jun 08, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Apr 28, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Apr 27, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Apr 25, 2012	Pikes Peak Center	Colorado Springs, CO	 I Was There
Apr 24, 2012	Rose State College Performing Arts Center	Oklahoma City, OK	 I Was There
Apr 22, 2012	Music Hall Kansas City	Kansas City, MO	 I Was There
Apr 21, 2012	Peabody Opera House	St Louis, MO	 I Was There
Apr 20, 2012	Milwaukee Theatre	Milwaukee, WI	 I Was There
Apr 19, 2012	Chicago Theatre	Chicago, IL	 I Was There
Apr 18, 2012	Morris Performing Arts Center	South Bend, IN	 I Was There
Apr 17, 2012	Murat Theatre	Indianapolis, IN	 I Was There
Apr 16, 2012	Louisville Palace	Louisville, KY	 I Was There
Apr 15, 2012	State Theatre	Cleveland, OH	 I Was There
Apr 14, 2012	Landmark Theatre Syracuse	Syracuse, NY	 I Was There
Apr 13, 2012	Radio City Music Hall	New York, NY	 I Was There
Apr 12, 2012	Landmark Theater Richmond	Richmond, VA	 I Was There
Apr 11, 2012	Durham Performance Arts Center	Durham, NC	 I Was There
Apr 10, 2012	Savannah Civic Center	Savannah, GA	 I Was There
Apr 09, 2012	Saenger Theatre-FL	Pensacola, FL	 I Was There
Apr 07, 2012	Verizon Theatre at Grand Prairie	Grand Prairie, TX	 I Was There
Apr 06, 2012	Verizon Wireless Theater	Houston, TX	 I Was There
Apr 05, 2012	Bass Concert Hall	Austin, TX	 I Was There
Mar 10, 2012	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
