word,n,name,rf
cums,3,Amy Schumer,7.757951900698216e-4
dad,3,Amy Schumer,7.757951900698216e-4
disgusting,3,Amy Schumer,7.757951900698216e-4
dog,3,Amy Schumer,7.757951900698216e-4
dragon,3,Amy Schumer,7.757951900698216e-4
dumb,3,Amy Schumer,7.757951900698216e-4
em,3,Amy Schumer,7.757951900698216e-4
embarrassing,3,Amy Schumer,7.757951900698216e-4
enjoy,3,Amy Schumer,7.757951900698216e-4
excited,3,Amy Schumer,7.757951900698216e-4
explained,3,Amy Schumer,7.757951900698216e-4
eye,3,Amy Schumer,7.757951900698216e-4
fancy,3,Amy Schumer,7.757951900698216e-4
fat,3,Amy Schumer,7.757951900698216e-4
fault,3,Amy Schumer,7.757951900698216e-4
feeling,3,Amy Schumer,7.757951900698216e-4
female,3,Amy Schumer,7.757951900698216e-4
feud,3,Amy Schumer,7.757951900698216e-4
floor,3,Amy Schumer,7.757951900698216e-4
friend,3,Amy Schumer,7.757951900698216e-4
grab,3,Amy Schumer,7.757951900698216e-4
hand,3,Amy Schumer,7.757951900698216e-4
happen,3,Amy Schumer,7.757951900698216e-4
hate,3,Amy Schumer,7.757951900698216e-4
heart,3,Amy Schumer,7.757951900698216e-4
hey,3,Amy Schumer,7.757951900698216e-4
hit,3,Amy Schumer,7.757951900698216e-4
hold,3,Amy Schumer,7.757951900698216e-4
holes,3,Amy Schumer,7.757951900698216e-4
hollywood,3,Amy Schumer,7.757951900698216e-4
homeless,3,Amy Schumer,7.757951900698216e-4
imagine,3,Amy Schumer,7.757951900698216e-4
isis,3,Amy Schumer,7.757951900698216e-4
joke,3,Amy Schumer,7.757951900698216e-4
juice,3,Amy Schumer,7.757951900698216e-4
kate,3,Amy Schumer,7.757951900698216e-4
khakis,3,Amy Schumer,7.757951900698216e-4
kid,3,Amy Schumer,7.757951900698216e-4
lay,3,Amy Schumer,7.757951900698216e-4
laying,3,Amy Schumer,7.757951900698216e-4
learned,3,Amy Schumer,7.757951900698216e-4
leather,3,Amy Schumer,7.757951900698216e-4
likes,3,Amy Schumer,7.757951900698216e-4
list,3,Amy Schumer,7.757951900698216e-4
load,3,Amy Schumer,7.757951900698216e-4
lost,3,Amy Schumer,7.757951900698216e-4
luke,3,Amy Schumer,7.757951900698216e-4
male,3,Amy Schumer,7.757951900698216e-4
meeting,3,Amy Schumer,7.757951900698216e-4
mind,3,Amy Schumer,7.757951900698216e-4
moment,3,Amy Schumer,7.757951900698216e-4
movies,3,Amy Schumer,7.757951900698216e-4
moving,3,Amy Schumer,7.757951900698216e-4
nature,3,Amy Schumer,7.757951900698216e-4
news,3,Amy Schumer,7.757951900698216e-4
nuvaring,3,Amy Schumer,7.757951900698216e-4
ooh,3,Amy Schumer,7.757951900698216e-4
oprah,3,Amy Schumer,7.757951900698216e-4
past,3,Amy Schumer,7.757951900698216e-4
phone,3,Amy Schumer,7.757951900698216e-4
photo,3,Amy Schumer,7.757951900698216e-4
piece,3,Amy Schumer,7.757951900698216e-4
pillows,3,Amy Schumer,7.757951900698216e-4
playing,3,Amy Schumer,7.757951900698216e-4
poor,3,Amy Schumer,7.757951900698216e-4
promise,3,Amy Schumer,7.757951900698216e-4
pull,3,Amy Schumer,7.757951900698216e-4
push,3,Amy Schumer,7.757951900698216e-4
pussies,3,Amy Schumer,7.757951900698216e-4
realized,3,Amy Schumer,7.757951900698216e-4
recently,3,Amy Schumer,7.757951900698216e-4
red,3,Amy Schumer,7.757951900698216e-4
relationships,3,Amy Schumer,7.757951900698216e-4
rest,3,Amy Schumer,7.757951900698216e-4
rosario,3,Amy Schumer,7.757951900698216e-4
scone,3,Amy Schumer,7.757951900698216e-4
seats,3,Amy Schumer,7.757951900698216e-4
secret,3,Amy Schumer,7.757951900698216e-4
severely,3,Amy Schumer,7.757951900698216e-4
shits,3,Amy Schumer,7.757951900698216e-4
shut,3,Amy Schumer,7.757951900698216e-4
single,3,Amy Schumer,7.757951900698216e-4
size,3,Amy Schumer,7.757951900698216e-4
skin,3,Amy Schumer,7.757951900698216e-4
smart,3,Amy Schumer,7.757951900698216e-4
sound,3,Amy Schumer,7.757951900698216e-4
spend,3,Amy Schumer,7.757951900698216e-4
standing,3,Amy Schumer,7.757951900698216e-4
street,3,Amy Schumer,7.757951900698216e-4
stuff,3,Amy Schumer,7.757951900698216e-4
sucks,3,Amy Schumer,7.757951900698216e-4
swear,3,Amy Schumer,7.757951900698216e-4
telling,3,Amy Schumer,7.757951900698216e-4
terms,3,Amy Schumer,7.757951900698216e-4
town,3,Amy Schumer,7.757951900698216e-4
trainer,3,Amy Schumer,7.757951900698216e-4
uber,3,Amy Schumer,7.757951900698216e-4
upset,3,Amy Schumer,7.757951900698216e-4
violence,3,Amy Schumer,7.757951900698216e-4
violent,3,Amy Schumer,7.757951900698216e-4
wasn,3,Amy Schumer,7.757951900698216e-4
wear,3,Amy Schumer,7.757951900698216e-4
white,3,Amy Schumer,7.757951900698216e-4
whoa,3,Amy Schumer,7.757951900698216e-4
wound,3,Amy Schumer,7.757951900698216e-4
wow,3,Amy Schumer,7.757951900698216e-4
write,3,Amy Schumer,7.757951900698216e-4
yep,3,Amy Schumer,7.757951900698216e-4
york,3,Amy Schumer,7.757951900698216e-4
10,2,Amy Schumer,5.17196793379881e-4
15,2,Amy Schumer,5.17196793379881e-4
30s,2,Amy Schumer,5.17196793379881e-4
36,2,Amy Schumer,5.17196793379881e-4
aah,2,Amy Schumer,5.17196793379881e-4
accept,2,Amy Schumer,5.17196793379881e-4
addict,2,Amy Schumer,5.17196793379881e-4
adorable,2,Amy Schumer,5.17196793379881e-4
adult,2,Amy Schumer,5.17196793379881e-4
ago,2,Amy Schumer,5.17196793379881e-4
alcohol,2,Amy Schumer,5.17196793379881e-4
allergic,2,Amy Schumer,5.17196793379881e-4
ambien,2,Amy Schumer,5.17196793379881e-4
ame,2,Amy Schumer,5.17196793379881e-4
america,2,Amy Schumer,5.17196793379881e-4
anal,2,Amy Schumer,5.17196793379881e-4
anymore,2,Amy Schumer,5.17196793379881e-4
app,2,Amy Schumer,5.17196793379881e-4
arms,2,Amy Schumer,5.17196793379881e-4
bag,2,Amy Schumer,5.17196793379881e-4
balls,2,Amy Schumer,5.17196793379881e-4
basically,2,Amy Schumer,5.17196793379881e-4
birds,2,Amy Schumer,5.17196793379881e-4
bit,2,Amy Schumer,5.17196793379881e-4
bitch,2,Amy Schumer,5.17196793379881e-4
blackout,2,Amy Schumer,5.17196793379881e-4
bleed,2,Amy Schumer,5.17196793379881e-4
blew,2,Amy Schumer,5.17196793379881e-4
booze,2,Amy Schumer,5.17196793379881e-4
bragging,2,Amy Schumer,5.17196793379881e-4
bring,2,Amy Schumer,5.17196793379881e-4
broke,2,Amy Schumer,5.17196793379881e-4
burned,2,Amy Schumer,5.17196793379881e-4
business,2,Amy Schumer,5.17196793379881e-4
butt,2,Amy Schumer,5.17196793379881e-4
buy,2,Amy Schumer,5.17196793379881e-4
cab,2,Amy Schumer,5.17196793379881e-4
cake,2,Amy Schumer,5.17196793379881e-4
called,2,Amy Schumer,5.17196793379881e-4
cares,2,Amy Schumer,5.17196793379881e-4
caught,2,Amy Schumer,5.17196793379881e-4
challenge,2,Amy Schumer,5.17196793379881e-4
chick,2,Amy Schumer,5.17196793379881e-4
chips,2,Amy Schumer,5.17196793379881e-4
cleaning,2,Amy Schumer,5.17196793379881e-4
clothes,2,Amy Schumer,5.17196793379881e-4
coincidence,2,Amy Schumer,5.17196793379881e-4
college,2,Amy Schumer,5.17196793379881e-4
comedian,2,Amy Schumer,5.17196793379881e-4
courtside,2,Amy Schumer,5.17196793379881e-4
cousin,2,Amy Schumer,5.17196793379881e-4
creative,2,Amy Schumer,5.17196793379881e-4
crotch,2,Amy Schumer,5.17196793379881e-4
